Title,Title_URL,Rating,Date,Position,Status,Location,View7,View8,View9,View10,helpfulness
Great company overall,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW75743658.htm,4.0,"Apr 22, 2023","Director, Project Manager","Current Employee, more than 10 years","Merrimack, NH",Pros,"Great people, good overall benefits, never bored, innovation encouraged, privately held company yet large and established business enables Fidelity to invest in new ideas and its people and company to thrive,",Cons,"Work-live ballance not always the best, but It has gotten better over the years. Pay and culture may vary a bit depending on what part of Fidelity you work on. To succeed, you generally need to move to various groups within the company to grow professionally and to be considered for larger roles. This is not always the case, but even within the same company within Fidelity you should plan to consider that else be pigeon-holed.",
Good place for Innovation,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76836615.htm,5.0,"May 27, 2023",Senior Full Stack Engineer,"Current Employee, more than 3 years","Durham, NC",Pros,Best place to work with good employee benefits. The CEO is always innovates the direction for the employees. You can experience all the modern technologies to help you upskill in carrier One of the big privately owned company. The job involves lot of learnings through out your life time. Fun places to experience all the cultural parties goes all over the year. The biggest tech gaint's in the trading industry.,Cons,I am happy working at fidelity. It all depends how you work for the company.,
Wonderful,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76914567.htm,5.0,"May 30, 2023",Financial Associate,"Current Employee, more than 1 year","Covington, KY",Pros,A ton of opportunities to grow and explore.  Benefits for both full and part timers. Good pay. Supportive crew and management. Tons of activities to engage and contribute in,Cons,It’s a phone center job as their biggest role. That’s not everyone’s cup of tea. Micromanaging on the phones. Stingy about time off if it is not scheduled even if it’s an emergency,
Culture is amazing,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW77680633.htm,3.0,"Jun 24, 2023",Customer Relationship Advocate,Former Employee,"Smithfield, RI",Pros,"Everyone was welcoming, especially managers. Very helpful and want you to succeed. A lot of support to pass Series 7 and 63 exams.",Cons,Customer Service heavy after 8-9 months of training. A lot of pressure and expectations. Micro-managed and a lot of monitoring. Hard to get promoted outside of phone roles.,3
Great Workplace,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78531683.htm,5.0,"Jul 24, 2023",Customer Relationship Advocate,"Current Employee, less than 1 year","Durham, NC",Pros,- Management helps/encourage every associate during licensing process - Benefits are great! - Very helpful team and they care about your success!,Cons,- Licensing process is difficult,
I love working for Fidelity!,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78292783.htm,5.0,"Jul 16, 2023",Workplace Planning Consultant II,"Current Employee, more than 1 year","Jacksonville, FL",Pros,"Fidelity Investments has great PTO, Healthcare, and Benefits Package. They have remote role opportunities as well as onsite. There’s opportunity for careeer growth and progression.",Cons,The base pay tends to be lower,
Company that Cares,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78287708.htm,5.0,"Jul 15, 2023",Customer Service Associate,"Current Employee, less than 1 year","Westlake, TX",Pros,"Amazing benefits and work/life balance. A company that puts people, and relationships first. That encourages collaboration, and constant improvement.",Cons,"I cannot think of any negatives. The Westlake regional center is amazing, new and improved.",
Lots of Flexibility with Remote Work,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78058935.htm,5.0,"Jul 7, 2023",High Net Worth Service Associate,"Current Employee, more than 1 year","Seattle, WA",Pros,"Pros: Work from home 100%, Regular development time away from main function of inbound phone calls, and great benefits",Cons,Cons: It's customer service and some days are better than others. Tax season is a particularly busy time of year,
This job has changed my life!,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW72985560.htm,5.0,"Jan 25, 2023",Client Relationship Advocate,"Current Employee, less than 1 year","Denver, CO",Pros,"With this job, I'm gaining financial understanding and knowledge that I can apply to my own life. For the first time in years, I have hope for the future. The benefits are unlike any I've ever had. They even pay my student loans! I've been here since May and I have yet to meet an unhappy person, myself included. You're not hired to fill the client services team. You're hired to start your career and they promote relatively quickly. I'm aiming to join the licensing team, since I used to be a teacher. It means a lot that I can use my degrees and experience.",Cons,Licensing is HARD! Fidelity supports you through every step of the process and more of our employees passed the exams than most other firms who hand you a book and give you 30 days to pass or you're out. Your training period is long but you learn a whole lot and the company celebrates every milestone you reach.,1
Mixed feelings,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78166821.htm,4.0,"Jul 11, 2023",Director,Current Employee,"Merrimack, NH",Pros,"Very good benefits, mostly remote",Cons,"Lots of work, you tend to work more when remote and weeks in office you’re always playing catch up on account of commute time. Work life balance can be tough.",1
"I was employed from 2015 - 2017, not 2019",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW77529000.htm,5.0,"Jun 19, 2023",Fund Accountant,"Former Employee, more than 1 year","Westlake, TX",Pros,"Great entry level job. Will receive great experience. If you are proficient with vba, and Tableau you will excel.",Cons,"Pay is low, mornings can be hectic because of the nature of mutual funds.",
decent,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78508024.htm,5.0,"Jul 23, 2023",Associate Software Engineer,Current Employee,"Boston, MA",Pros,-work life balance - 401k - benefits - growth opportunities,Cons,- low pay - bureaucracy and politics,
Good if you can pass,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW77594568.htm,4.0,"Jun 21, 2023",Customer Relationship Advocate,"Former Employee, more than 1 year","Durham, NC",Pros,"It’s a good place to grow your career IF you can pass the tests. But there is a lot of support to help you pass. Great benefits, great leaders. It’s a big company but I never felt like just a number to them.",Cons,Everything is centered around the tests. Extremely stressful. No work life balance,
Great place to build your career,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW77892107.htm,5.0,"Jul 2, 2023",Financial Consultant,"Current Employee, more than 3 years","Danvers, MA",Pros,Supportive and collaborative environment. Dynamic work arrangement supported by Fidelity’s commitment to invest in technology.,Cons,Compensation somewhat limited compared to volume produced elsewhere.,
Great job - no longer remote,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71827679.htm,3.0,"Dec 13, 2022",Transition Services Specialist,"Current Employee, more than 1 year","Salt Lake City, UT",Pros,Great company culture Advancement opportunities Good training program Good compensation,Cons,"We are being forced back into in person work - I started working here as a remote worker during the pandemic and was recently told (without much notice) we are being forced back to the office one week a month starting in January - there is no flexibility in which week (you are assigned) nor is there the option to just do in office one day a week the whole month. This is very difficult as an involved dad - with commute I have to leave at 6:30AM and don’t get home until 6PM - working from home my day is 8AM-4:30PM. This change will be hard on my kids, as I will not be able to be as involved in their evening activities.",5
"Great Company, not excited about the push for back to office",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW77275197.htm,4.0,"Jun 11, 2023",System Analyst,Current Employee,"Durham, NC",Pros,"Great company to work work, surrounded by talented and driven people. The pay and benefits are good.",Cons,"Not a fan of the connect week, since for some (myself included), their entire team is in different locations, so you come into the office to collaborate on Zoom.",1
Great place to work!,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76559242.htm,5.0,"May 18, 2023",Team Leader,"Current Employee, more than 5 years",Dallas-Fort Worth,Pros,Love the culture and atmosphere here Management gives me the flexibility to create my own goals and plans Encourages career growth and development Great benefits Great work life balance,Cons,"Pay is probably the only gripe i have. With exception to a few departments and areas, we are largely underpaid for our markets.",
Soar program,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW77978703.htm,4.0,"Jul 5, 2023",Soar Associate,"Former Employee, more than 1 year","Westlake, TX",Pros,"Great people, great benefits, wonderful amenities in office.",Cons,Hr is a nightmare. Constantly making things complicated and painful and a nightmare. Not much flexibility. Avoid talking to HR if possible and pray you never need to ask for an exception to any policy.,
Great company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78178229.htm,5.0,"Jul 12, 2023",College Planning Specialist,"Current Employee, more than 1 year","Covington, KY",Pros,"Culture, benefits, opportunity to grow, leadership",Cons,"Being on the phone can be draining, but worth it if you can work through putting in the time and effort to move to a non phone role",
Vice President Level Roles,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78068540.htm,5.0,"Jul 8, 2023",Vice President,"Current Employee, more than 10 years","Boston, MA",Pros,"Excellent firm, very well run. Positioned extremely well for decades to come.",Cons,"Very political, demanding, long hours. A fast paced driven culture that requires high level of work ethic and execution.",1
If you value your mental health don't work here.,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78368909.htm,1.0,"Jul 18, 2023",Production Supervisor,"Current Employee, less than 1 year","Tampa, FL",Pros,* breaks *pay Not a lot of cons in that job.,Cons,"*Disrespectful to women, men there including management like to gaslight and rise their voices to women there. * No respect for work life balance. *Poor Training. * Bad and dangerous work conditions. * Being blamed for management bad decisions.",4
Had a strong start but the company is not what it used to be,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71197430.htm,1.0,"Nov 18, 2022",IT Does Not Matter,"Current Employee, more than 8 years",,Pros,- 401K - Healthcare (Dental is lousy!) - Technology/Tools to do your job,Cons,- DEI out of control - Mandatory on-site work 5 days straight! So much for flexibility. - Miserable/Dull Buildings feel like you are in a prison (Campus sites have lousy cafeterias),11
"Bad Unit, Great Company",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW77256122.htm,3.0,"Jun 10, 2023",Lead Pensions Administrator,"Former Employee, less than 1 year","Richmond, VA",Pros,Fidelity Investments is a great company. Bonuses are quarterly. Was there for nine months and received a raise. Student loans assistance. Flexible schedule.,Cons,Training was terrible. Was there for nine months and had no idea what I was doing. Asked for more assistance but was put on a smaller client with no training.,1
"Good Company, Terrible Leadership/Mangement",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW75361696.htm,3.0,"Apr 10, 2023",Financial Representative,Former Employee,"Tigard, OR",Pros,"Great national backing, good training, and resources.",Cons,"Local Issues. Terrible management and leadership, also at the Portland location (which recently closed). Surprisingly, a lack of understanding of financial concepts and strategies across the board, and emphasis apparently on communication or the appearance of intelligence rather than you know... Shockingly out of touch with many things, ironically opposed or maybe uninformed? of the CEO's vision, especially on new innovative asset classes. Probably shouldn't have expected much from a retail finance location, might be the place for you if your into the business of business, cronyism, networking, have other non-finance retail or sales experience or wanting to get a foot in the door",2
Great Culture to Work with Benefits,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78128119.htm,5.0,"Jul 10, 2023",Senior Full Stack Developer,"Current Employee, more than 1 year","Texas City, TX",Pros,Best place and always encourage new development and help in carrier growth,Cons,Nice place to work but now we need to go to back to office.,
Stop dynamic weeks,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW77972892.htm,2.0,"Jul 5, 2023",Senior Scrum Master,"Current Employee, more than 8 years","Durham, NC",Pros,Great company to work for when they arent trying to force people in that live 6 hours away,Cons,Forcing folks in that live too far away,2
Manager WI PS,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78319889.htm,5.0,"Jul 17, 2023",Manager,"Current Employee, more than 10 years","Westlake, TX",Pros,Amazing company with even better benefits and growth opportunities,Cons,Slow at hiring process and providing constructive feedback,
Good pay and benefits for what the job is but you’re a robot,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW62663017.htm,3.0,"Apr 12, 2022",Financial Customer Associate II,"Former Employee, less than 1 year","Covington, KY",Pros,"- Pay was good for what it was; received pay increase within 3-4 months to compete with other financial institutions. 
- Benefits and retirement plan (medical, dental, vision, 401k, stock program)
- 16 week paid training program (8:30am-5:00pm)
- some of the people you meet and community events etc
- good resume builder if you need to help build it
- diversity",Cons,"- Once you are out of the training program you are 12pm-8pm ET. This seems okay at first and if you’re a night owl, but it wears on you. You can advance ur way to a better time slot but if you start a new role that’s the same sort of field, you go back to 12-8pm and have to work your way back up.
- Stats; you have to meet call criteria which some is understandable but then you have situations that they don’t train you on and your stuck ruining your stats. 
- You feel like a robot and are really just a number. Saying the same things over and over to every customer can get tiring especially some of them are super rude and impatient.
- a good manager and a bad one here affects ur motivation to do the same exact thing over and over again
- hourly salary; they tell you and send you an offer that it’s a salary position but are paid by the hour",16
"Great WLB, Not so competitive conpensation",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW77489944.htm,5.0,"Jun 18, 2023",Senior Business Analyst,"Current Employee, more than 3 years","Merrimack, NH",Pros,Great Work-Life Balance. Hardly anyone bothers post 4 PM on weekdays unless there's something urgent.,Cons,Fewer growth options and well-established practices stop you from thinking out of the box. Not so generous when it comes to offering salary packages to employees.,
Great Company but can be a tough job,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW75831195.htm,4.0,"Apr 25, 2023","Customer Service Representative, Call Center","Former Employee, less than 1 year","Covington, KY",Pros,"Great benefits like retirement, healthcare options, s tudent loan assistance, and vacation. They pay well and do make you feel like they care about you. Also, Beautiful campus. Plenty of learning opportunities and advancement opportunities. If you are good with people and can brush off a toxic customer, like following a strict schedule, and can deal with a schedule that changes day to day, then this is a great job. I also made some lifelong friends there.",Cons,"Dealing with people's money can be difficult, and when it is over the phone, people can be very rude. Your time is constantly monitored by software. I didn't have a consistent break schedule, and I found it difficult to eat on demand. I don't deal well with toxic people, so it was a very stressful job. I also felt completely drained most days. Since there are so many clients and each have its own rules/policies, it felt like I took a 8-hour test most days. Most of the time I used my breaks to meditate from customers. But if you can handle that. This won't be an issue. My biggest issue was the software time management that tracked every second of your time. I found that really stressful. Not because I wanted to slack, but quite the opposite. I wanted to be perfect on time, and sticking to the schedule that changed every day was very tough. I'm a pretty smart, energetic, and confident person, but this took its toll on me.",1
Great Career,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78272746.htm,5.0,"Jul 14, 2023",Service Support Specialist,"Current Employee, more than 3 years",,Pros,Great role with growth opportunities for those that put in the hard work.,Cons,It is still a phone role.,
"Excellent job, needs more direction",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW77691527.htm,5.0,"Jun 25, 2023",Central Relationship Manager,"Current Employee, more than 3 years","Houston, TX",Pros,"Amazing work life balance, purely outbound dials, remote position (not all) and hands off leadership approach",Cons,"No direct path career wise, have to work on that on your own, can ask leadership but initiative is on you",
Great Company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78447712.htm,4.0,"Jul 20, 2023",Investment Solutions Representative,"Current Employee, more than 1 year","Jacksonville, FL",Pros,Benefits Flexibility Work/Life Balance Training Profit Sharinf,Cons,The pay they provide does not keep up with inflation.,
Great place to work,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78286434.htm,5.0,"Jul 15, 2023",High Net Worth Service Associate,"Current Employee, more than 1 year","Richmond, VA",Pros,Love this place don’t plan to leave,Cons,Don’t have any so far I love it,
It is what you make it,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76600018.htm,5.0,"May 19, 2023",Relationship Manager,"Current Employee, more than 3 years","Austin, TX",Pros,"Flexibility in your schedule, decide when to do tasks.",Cons,Could get caught between opposing forces with Financial Consultant and Branch Manager telling you what you should be doing.,
Great place,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78415307.htm,5.0,"Jul 19, 2023",Risk Manager,"Current Employee, less than 1 year","New York, NY",Pros,Good interview process met whole team,Cons,Drug test screening not sure,
Care about their employees,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW77871707.htm,5.0,"Jun 30, 2023",Customer Relationship Advocate,"Former Employee, less than 1 year","Westlake, TX",Pros,"Fidelity Investments has an abundance of resources for helping not only their employees personal life, but also giving plenty of help in their current position and general career growth.",Cons,Internal promotions can be highly competitive,
Really good place to work,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78316324.htm,5.0,"Jul 17, 2023",Customer Relationship Advocate,"Current Employee, less than 1 year","Denver, CO",Pros,Benefits Environment People are great Management is super supportive,Cons,None that I can think of,
Great culture and benefits,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW74336332.htm,5.0,"Mar 8, 2023",High Net Worth Service Associate,"Current Employee, more than 1 year","Salt Lake City, UT",Pros,"The culture consists of managers that truly want you to succeed, and their support in helping you get licensed and learning the content to best clients is above par. If you do not know something you can always get help from other people around you. The benefits such as tuition reimbursement, gym reimbursement, 6% 401k match, and starting with 4 weeks of PTO are some of my favorite. The company supports the work life balance & managers encourage you to take time off. There are also a lot of opportunities to get to know your team with team outings; good thing that is prioritized.",Cons,Large call volume can be exhausting & it is easy to get burnt out. Hard to move out of the call center.,1
Amazing Benefits and Management,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW77639068.htm,5.0,"Jun 22, 2023",Workplace Planning Consultant,Current Employee,,Pros,"All of my managers have wanted me to succeed and have worked with me on a great one on one level, making me feel valued.",Cons,They hold out on giving bonuses so you’re always walking out on money if you leave.,
Highly recommend,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78132323.htm,5.0,"Jul 10, 2023",Investment Sales Associate,"Current Employee, more than 5 years",,Pros,World class benefits Developmental program Access to resources The people Enjoyable client base Highly competitive Equitable organization,Cons,High expectations / standard of execution,
Glorified Customer Service Role,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78150405.htm,2.0,"Jul 11, 2023",Launch Associate,"Former Employee, less than 1 year","Westlake, TX",Pros,Good office with cafeteria and standing desks.,Cons,Dishonest job description. Promised career advancement that was not true. Micromanaged.,3
Great Company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW75843518.htm,5.0,"Apr 25, 2023",Workplace Planning Consultant I,"Current Employee, less than 1 year","Denver, CO",Pros,"Benefits are phenomenal. 401k match is 7% , 10% of salary profit sharing contribution , affordable health and dental benefit , education reimbursement. 23 pto days plus bank holidays in first year of employment",Cons,Only thing I could think if is the repetitive the role can become. You have to be okay with receiving incoming calls and make the occasional outgoing calls for appointments or cold calls. You have to find your own language and become comfortable to do planning at a moments notice no matter the situation,
Good place to work,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW77655629.htm,5.0,"Jun 23, 2023",Customer Relationship Advocate,"Current Employee, more than 1 year","Smithfield, RI",Pros,Easy to preform and get bonuses/promotions if you just listen to your manager and take coaching advice.,Cons,Phone based role incoming calls. Some days are harder than others.,
"Great Benefits, remote restructuring is a silo.",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW73665783.htm,3.0,"Feb 15, 2023",Investment Solutions Representative,"Current Employee, more than 1 year","Charlotte, NC",Pros,"Fidelity has awesome benefits! Paternity leave, Profit Sharing, Education Reimbursement, lots of PTO, and the Fidelity brand is well received by clients.",Cons,"Recent restructuring in the remote space has inspired me to leave this review. Fidelity is purposely siloing internal candidates. In the remote space, they stop announcing internal opportunities, instead only sharing this info with management (gatekeepers of you will). They have also increased the amount of roles that are external hire only. Roles that are clear promotions, can't even apply for. Many roles only have one path, regardless of what is promised.",7
All good,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78302762.htm,4.0,"Jul 16, 2023",Sales Representative,"Former Employee, more than 1 year","San Francisco, CA",Pros,Remote learning and access was great,Cons,Asked to work overtime a lot,
Just ok,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW77481382.htm,3.0,"Jun 18, 2023",Customer Service Representative (CSR),"Former Employee, less than 1 year","Jacksonville, FL",Pros,Remote work is a plus.,Cons,"Too much training to get certifications, and hardly any on your actual job. Thrown on the phones and just have to figure it out.",1
Amazing Company!,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW78050350.htm,5.0,"Jul 7, 2023",Analyst,"Current Employee, more than 1 year","Smithfield, RI",Pros,promotes changing job roles within company beautiful campus flexible work environment gym on site great benefits,Cons,"great workplace, no cons in my personal experience",
High net worth associate,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76397030.htm,5.0,"May 13, 2023",High Net Worth Associate,Current Employee,,Pros,Great job training you. Flexible schedules and great work to life hours. Benefits are amazing,Cons,the pay is low. its nice if you are 22 but if you have a kid good luck sticking around. Im pretty sure garbage men get paid more,1
Growth for remote workers is nonexistant in the service side.,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW68065060.htm,4.0,"Aug 18, 2022",High Net Worth Service Associate,"Former Employee, more than 1 year","Covington, KY",Pros,"decent starting pay, work from home setup and perks.",Cons,"The pressure of hitting consistent metrics for calls and ratios, breaks and times makes it a headache after months. They want to amass a massive customer service network, and promises of advancing even with 7/66/63/65 licenses are slow and always come with conditions internally. Was initially onboarded with the expectation that i would move into an advisor role, but after 10 months and still promises, it wasn't worth it. worst of all despite the high inflationary times, they do an annual assessment, and determined my pay would not increase. As a company I trust them with my money, but as an employee you're just a spec of dust. Despite making just under 60k in their high network service role, benefits are not paid for, so our family of 4 was costing me $600 month for insurances despite being healthy. Left for a job in fintech making much more with full covered benefits and better work/life.",4
