Title,Title_URL,Rating,Date,Position,Status,Location,View7,View8,View9,View10,helpfulness
Great place for software development,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW64956639.htm,5.0,"Jun 1, 2022",Senior Software Engineer,"Current Employee, more than 3 years","Durham, NC",Pros,"For a big, big enterprise company, Fidelity tries to adopt a lot of the modern business and development practices that you associate with smaller startups or tech giants like Google/Uber/Twitter/etc. They've been on a multi-year journey to embrace Agile methodology—there's still work to do there, but they've come a long way, and put a lot of resources toward making it more than lip service. They invest in cloud technologies like AWS and modern web tools like Angular, Node, etc. They even give you 1 day out of every 10 as a ""Learning Day"" to stay up-to-date or broaden your skills. Pay is competitive, and they gave an ""extra bonus"" last year beyond the normal profit-sharing, just because the company had done so well. Work-life balance is encouraged and respected, and PTO is generous. Most of all, I have no concerns about job security in uncertain times!",Cons,"They are a big company. Working for a small startup might be more exciting and adventurous (though some projects within Fidelity have that ""startup spirit""). There's some inertia and levels of bureaucracy if you want to change a process or procedure. The huge size of the company means that you can have a totally different experience on a different project or division of the company.",
Amazing company that keeps getting better,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW72620238.htm,5.0,"Jan 14, 2023",Vice President - Technology,"Current Employee, more than 10 years","Smithfield, RI",Pros,"Lots of career growth and mobility, meaningful work, actually believes in agile software development, great benefits",Cons,"A somewhat one size fits all approach to a hybrid return to office in 2023 limits flexibility in a way that Fidelity historically has allowed more individual discretion on. (They may adapt on this after feedback). Also base pay is sometimes a little low to industry, but the benefits package closes that gap.",3
Not Progressive,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW72239565.htm,3.0,"Jan 1, 2023",Individual Contributor,"Current Employee, more than 10 years",,Pros,This company is hiring in several areas and finally focused on digital communication.,Cons,"Despite its progressive talk, Fidelity management is wedded to old ways of doing things: demanding people return to the office 5 days a month (with more days to come) simply to fill office space. Some folks are driving an hour one-way to sit in an office where no one on their team works which means they drive into an office to still attend meetings on Zoom. Makes no sense! Also, don't believe the hype about Fidelity diversity and inclusion. Upper management remains heavily white women and men. Diverse hiring is at lower levels in expendable positions.",1
Not the same company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW74742939.htm,3.0,"Mar 21, 2023",Sr Principal Software Engineer,"Current Employee, more than 10 years","Merrimack, NH",Pros,Good benefits Avg industry pay. Open office environment. Work/life balance.,Cons,"Too many new hires in leadership roles. All levels of management are confused/lost as they attempt to migrate from 1970s tech and hardware to AWS Cloud. Everyone is now just a resource and expendable. No mobility, although they say there is.",3
Don't do it,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70885094.htm,1.0,"Nov 8, 2022",Financial Associate,"Current Employee, more than 1 year","Durham, NC",Pros,They give you $10 a day for lunch,Cons,"Some managers expect for you to be perfect at everything. I was told that everything needs to be perfect. The job that they advertised was nothing compared to what you have to deal with. Training is 11 weeks long and you read and watch videos. There are no dummy accounts so you can't practice unless it's on a live account. You really can't move up in a position unless you've been in your current one for 2 years. Our lunches are only 30 mins and granted you get 2 15 min breaks but its hard to unwind mentally on just 30 mins. If a customer writes a bad review on you whether it was the customer's fault it's on you. Also, we were just told in training that if we ask a team for help with a question and they give us the wrong answer and we tell the customer the answer, it's our fault. We'll get in trouble and possibly written up. They want us to ""predict"" or ""know"" that the answer the team lead gives us is right.",9
Fidelity is an IT company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW75977101.htm,5.0,"Apr 30, 2023",Information Technology,"Current Employee, more than 10 years","Boston, MA",Pros,Fidelity invests heavily in technology to ensure customer success,Cons,"The agile operating model went a bit too far, too many coaches, scrum masters and non-technical leaders driving technology capabilities",1
Metric System and greedy management causes pervasive mental health problems in low level workers,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76834122.htm,1.0,"May 27, 2023",Financial Service Associate,"Former Employee, more than 3 years","Merrimack, NH",Pros,"Decent pay, formal training, benefits",Cons,"Always compared to others and very intense productivity metrics, mental health problems throughout call center, apples call center does not use humiliation as a management tactic like fidelity",1
Great benefits,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70433245.htm,5.0,"Oct 24, 2022",Participant Services Manager,"Current Employee, more than 8 years","Durham, NC",Pros,"Benefits are superb, and continue to grow and add in. Generous leave time if needed. Great strives in the diversity and inclusion space. Supportive environment. Training is above average.",Cons,"I feel compensation is not as competitive at the base pay level. They offer bonuses/stock options but it’s rare to actually get them. The tenure is newer, a lot of tenured people have left so you are surrounded by newer associates. Along with pay, I don’t feel the company keeps up with inflation and rising costs. I’ve been there 8 years and still can’t afford to buy a home in my current housing market.",1
"Good Benefits, Terrible Management",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW73282107.htm,2.0,"Feb 3, 2023",Customer Relationship Advocate,"Current Employee, more than 1 year",,Pros,"Benefits are great, training and licensing are paid",Cons,"You will be micromanaged down to the second by a computer once you’re out of training. It’s very strange because training and licensing is a very smooth process, but once you start working full time it becomes a draining call center role where you have no room to breathe. Management sometimes has no answers for you either for important questions and you’re just thrown into the full time role. Benefits are good but salary is low compared to other companies",1
Cool,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76840975.htm,2.0,"May 27, 2023",Service Manager,"Current Employee, more than 1 year","Provo, UT",Pros,Benefits are really good to grow,Cons,Lack of opportunity to grow,
Great Company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76759428.htm,5.0,"May 24, 2023",Financial Representative,"Current Employee, less than 1 year",,Pros,"Career growth, benefits, w/l balance",Cons,I have no cons at this time,
Great Job,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76308856.htm,5.0,"May 10, 2023",Workplace Consultant I,"Current Employee, less than 1 year","Westlake, TX",Pros,Every level planner knowledge Training Job growth,Cons,Salary is a little low Outbound cold calling 30% of the time,
Good company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76471666.htm,3.0,"May 16, 2023",Workplace Planning Associate,"Current Employee, more than 3 years","Durham, NC",Pros,"Tuition reimbursement, EAP and learning opportunities.",Cons,Pay is well below market values.,
Messed Up Pay,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW73909084.htm,2.0,"Feb 23, 2023",Workplace Planning Associate,"Current Employee, more than 1 year","Denver, CO",Pros,"great training in the beginning, remote at first, send you all equipment",Cons,fast paced in the sense of the recruiters/talent acquisition don't really know the scope of the role or changes happen so fast they don't get to them in time. Messed up my pay so now I'll be behind on bills and will accumulate late fees :) which will then affect next round of bills etc... so fun HR can't fix it right away/,3
Decent plac,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76122935.htm,5.0,"May 4, 2023",Investment Solutions Representative II,"Current Employee, more than 3 years","Merrimack, NH",Pros,"Good benefits, good culture, good pay, good growth opportunity",Cons,over reliance on client surveys without much proof it actually drives client activity.,
"Join Fidelity, leave and then come back",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW75725802.htm,5.0,"Apr 21, 2023",Compliance Advisor,"Current Employee, more than 10 years","Newark, NJ",Pros,"Profit sharing, 401k employer match, annual retirement health plan contribution",Cons,Entry level comp appears to be low for certain roles.,
Great company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW75266665.htm,5.0,"Apr 6, 2023",Help Desk Team,"Current Employee, more than 3 years","American Fork, UT",Pros,"Love the benefits, managers are fantastic and actually care about the well being of their subordinates. Great training programs, and they make a good effort to show you how your contribute to the overall good for the clients you work with.",Cons,Can be very competitive when advancing in certain areas of the company.,
Good place to work,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW73143463.htm,5.0,"Jan 30, 2023",Operations Support Lead,"Current Employee, more than 3 years","Salt Lake City, UT",Pros,"The benefits package is really good. Fidelity really cares a lot about their employees and invests a lot into them. Even if the wage is lower than other companies, I think they make up for it with how much they give us benefits-wise. It is also a stable company and rarely lets people go, which is awesome to know that my job is secure. They also hire a lot from within, so there is a lot of room to grow in the organization.",Cons,"It is a massive company and that can result in things taking a really long time to happen. One especially annoying thing is how long it takes to get accesses. It makes sense that they want to be secure and whatnot, but it takes a long time to get things and sometimes if it is a once a year process then the access is removed after a certain time and has to be requested again when the team wasn't thinking it had to be.",1
"Great opportunities, if you can play the “game”",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW75810465.htm,4.0,"Apr 25, 2023",Planning Consultant,"Current Employee, more than 5 years","Bethesda, MD",Pros,"Benefits, career growth, resources and training",Cons,"Highly micromanaged in branch or phone site, if they want to they can see everything you do on work devices",
"Great team, little room for growth",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW75877665.htm,4.0,"Apr 26, 2023",Retirement Brokerage Services Representative,"Former Employee, more than 1 year","Albuquerque, NM",Pros,The people at the Albuquerque location are wonderful. The company provides excellent benefits.,Cons,There is not any room to get involved with the personal investing side at this location.,
Not Real Financial Planning,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW73218182.htm,3.0,"Feb 1, 2023",Planning Consultant,Former Employee,"Philadelphia, PA",Pros,Great benefits and 401(k). Somewhat flexible with work remote.,Cons,"Extreme micromanagement from branch leaders and market leader. They sell you on the fact that you will be doing comprehensive financial planning for Fidelity investors but really you are pushing sales tactics to put Fidelity investors in extremely expensive and mediocre preforming managed investment accounts and annuity products. Management cares way more about sales numbers and irrelevant KPIs than they do providing quality financial planning and doing what's best for the client. If you're a real fiduciary Financial Planner at heart, this is not for you.",2
Fidelity Investments,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76491312.htm,5.0,"May 16, 2023",Service Support Specialist,"Current Employee, more than 1 year","Detroit, MI",Pros,Good pay & benefits Treated fairly,Cons,Remote work is boring and lonely,
"Good benefits, nice people, nice office renovations",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW74971685.htm,5.0,"Mar 28, 2023",Financial Services Representative,Current Employee,"Towson, MD",Pros,New licensing program allows studying to be your primary focus,Cons,"Timeline seems a bit short to get 3 licenses. You might feel less pressure if you already have your SIE. The FR role seems to always be available, so if you can wait to apply, try to take and pass your SIE exam first.",
"Great company, amazing benefits!",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76298737.htm,5.0,"May 10, 2023",Wire Specialist,"Current Employee, more than 3 years","Covington, KY",Pros,Both maternal and paternal leave. 7% 401k match. HSA for qualified employees with annual contribution.,Cons,I don’t have any cons,
CRA,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76199114.htm,4.0,"May 7, 2023",Customer Service Representative,Current Employee,"Westlake, TX",Pros,Positive environment Hybrid position Have plenty of resources to help you success,Cons,Entry level position where networking is key to move up,
Going in Reverse,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW73217524.htm,2.0,"Feb 1, 2023",Financial Customer Associate,"Current Employee, less than 1 year","Westlake, TX",Pros,Pay and benefits are good 90% of the people are really great to work with and talk to My manager is very understanding and supportive You get incentive bonuses of $100 each week your work Monday and Friday and sign in on time. For peak weeks (high call volume weeks) you get a $200 incentive. There’s a $1000 bonus ($700 after taxes) for finishing training and another one after 6 months. There’s about 3 or so weeks of PTO and you can take voluntary unpaid time off too.,Cons,"They require everyone to come on site 5 consecutive days each month when your job can be done better at home. Imagine a room full of phone associates all talking at the same time. Not great for the customer service experience. They love talking about how they support work life balance, but ignore the fact the a lot of employees have to add 2 hours of driving time when going to the office. The 7% 401(k) match doesn’t start until a year after working here and even then you have to wait 3 more years to be vested. A lot of the stats they use to measure call success are not realistic. You can have 90% schedule adherence but if your wrap/idle time is too high (time you use to log calls or use the restroom) then they’ll focus on that. The surveys participants fill out can leave you a positive note, but they’ll label it as “Vague” If a call is transferred and the participant has a bad experience with the second person and fills out a survey, the survey reflects on you because you answered the phone first. Genesis (the system we use for taking calls) has a lot of problems with Mis- transferring calls which causes participants to have a bad experience which makes our jobs harder and our survey scores lower. The technology we use is VERY outdated. We have 2 different systems for doing rollovers/withdrawals. Depending on the type of transaction you’re doing determines which system you use. So it’s inefficient and time consuming.",2
Great Company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76227810.htm,5.0,"May 8, 2023",Director,"Former Employee, more than 8 years","Boston, MA",Pros,Amazing Management and vision for the future,Cons,No cons to speak of at this comapny,
Great company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76072194.htm,5.0,"May 3, 2023",Investment Management Consultant II,"Current Employee, more than 3 years","Westlake, TX",Pros,Highest level of integrity in the industry / for both clients and employees /flexible / good benefits /,Cons,Training could use some improvement.,
Great company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76384824.htm,5.0,"May 12, 2023",Customer Relationship Advocate,"Former Employee, more than 1 year",,Pros,Great benefits and upward mobility,Cons,Working on the phones can be stressful,
Good to work for overall,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW69345103.htm,4.0,"Sep 22, 2022",Customer Relationship Advocate,"Current Employee, more than 1 year","Jacksonville, FL",Pros,"-competitive salary (47.5 a year, paid hourly) with little to no experience 
-a lot of pto (almost 5 weeks)
-quarterly bonuses. They’re fixed in this position, but variable based on performance when promoted
-a lot of promotion from within. It’s almost expected",Cons,"This department is open until 11, so you may not be able to work regular hours. The on job training is pretty arduous, especially if you aren’t licensed before the role (however, all training and studying during work hours is paid for) Hours can be long, and taking a lot of phone calls can get exhausting.",6
CSA Salary,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76480731.htm,4.0,"May 16, 2023",Senior Client Service Administrator,"Current Employee, more than 3 years","Westlake, TX",Pros,Continuous learning is a plus.,Cons,Poor work life balance is a negative.,
BEST JOB EVER!,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW75660817.htm,5.0,"Apr 19, 2023",Customer Relationship Advocate,"Current Employee, less than 1 year","Durham, NC",Pros,"Great pay, room to grow, management pushes you to succeed, company truly cares about their people!",Cons,None found in the 10 months I’ve been here so far!,
Great company for career growth,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71585662.htm,5.0,"Dec 3, 2022",Communications Manager,"Current Employee, more than 3 years","Covington, KY",Pros,"This is a large company and they encourage internal career growth. It’s a great place to start a career or make a career transition. They have great benefits, with quarterly or yearly bonus opportunities based on position, 7% 401k match, and 10% yearly profit sharing to your 401k. PTO is generous at 160 days per year with increased every 5 years. Culture is fairly relaxed, and work from home is 75%.",Cons,Most of the time they hire people in at entry level and it can be competitive to move up the ranks. Most of the entry level jobs are comparable to a call center with specialized areas of expertise. Some of those roles can be very repetitive so there isn’t a lot of variety of work until you move into other areas of the business.,
Solid Company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW64675855.htm,5.0,"May 25, 2022",Stock Plan Associate,"Former Employee, more than 1 year","Salt Lake City, UT",Pros,"Lots of room for growth and movement. Obtained my CEP, which was encouraged and learned an incredible amount. Lots of schedules to choose from, solid bonuses and company stock",Cons,"There were times when managers rotated frequently. During a shift bid, I was one of the top performers who bid for a shift. I didn't receive the shift, when I asked about it and compared my performance to coworkers management said they'd get back to me. They then advised they'd made a mistake, but that they wouldn't correct it. We eventually found a compromise where I worked a different shift, but it was very disconcerting that I was told they'd made a mistake and then I had to push to get them to not simply say ""Too bad"". 

We also had a member of our team who practiced textbook ""Call avoidance"" where they would simply sit there and avoid calls forcing more burden on the team. When confronted, the employee admitted to it, but was given another chance. I knew of other employees who were let go for lesser offenses, so there were inconsistent standards at times. 

At the time I left, I had a new manager of approximately a month, and the senior manager spent the entire interview asking me about that manager and how they worked. I let the manager know that she seemed to have some sort of personal vendetta, she fired him shortly after.",1
Low Class,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW77391200.htm,1.0,"Jun 14, 2023",ISR 2,"Former Employee, more than 1 year",,Pros,Its a discount brokerage firm…keep expectations low,Cons,Management is in disarray. High turnovers!,4
Healthcare Group,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW74810054.htm,5.0,"Mar 23, 2023",Senior Business Analyst,"Former Employee, more than 5 years",,Pros,Really great foundation Tons of upward mobility Solid business/digital infastructure,Cons,Work life balance can suck at times (hyper dependent on your boss/director/VP). Base pay lags behind competitors (Fidelity has a robust overall compensation package that makes up for it) Subject matter of work can put one to sleep.,2
Call Heavy,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW74879423.htm,4.0,"Mar 25, 2023",Customer Relationship Advocate,Current Employee,,Pros,"Systems are fairly easy to use, calls become routine with practice, and they have a great support system.",Cons,"Calls all day become exhausting, clients are for the most part incapable of using technology, and it does not appear they have much to offer outside of call related work.",2
Compliance,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW75087890.htm,4.0,"Mar 31, 2023",Director,"Current Employee, more than 1 year","Smithfield, RI",Pros,"Supportive manager, work is appreciated, enjoy the work",Cons,they seem to be easing people back into working in the office. Would prefer remote work / in person options instead of a blanket policy that all have to be in the office. Some jobs don't interface with others who are local.,
NOPE,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW74168723.htm,1.0,"Mar 3, 2023",Financial Customer Associate,"Former Employee, more than 1 year","Jacksonville, FL",Pros,Benefits are pretty good PTO policy is very generous (it has to be or you're getting burned out fast) Coworkers are generally good people,Cons,"I found a review from about five years ago and it hit most of the points that I want to hit, so I'm using it as a basis here; it's discouraging to see that so little has changed with this role at this company in a five-year span. It's an indication of how absolutely oblivious upper management is to the situation on the ground. 1. Heavy volume of calls- there is NO pause between calls on many days. It's ridiculous to expect people to provide excellent customer service for an eight or ten hour shift when the volume is that heavy. 2. You will be micro-managed. Even if you're intelligent enough to make decisions that are best for the customer, you'll be told to do it according to the protocol, which a good deal of the time doesn't make any sense. 3. You will feel like a robot. You have to follow Fidelity's robotic call structure; miss any element of that and an excellent call becomes 'satisfactory' according to the judgement of ""Quality,"" the Big Brother of Fidelity who evaluate calls. It is EXTREMELY demoralizing to feel like you have done an amazing job and that customers were happy with your service, but Fidelity is going to find a thousand things to criticize you on. 4. You are expected to know (or know how to locate) massive amounts of information. You will be asked obscure questions, and you'll have to sort through electronic encyclopedias of financial information to attempt to find the answer. 5. Customers get screwed over all the time. Somebody taking a $150 payout from their 401K has to pay the same $25 withdrawal fee as someone who's taking out $100K. Want tracking with your rollover check (Fidelity doesn't do direct rollovers)? You're going to pay $25 for that too. There are ""recordkeeping fees"" on most 401Ks. It's a racket.",6
Good experience,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76317247.htm,5.0,"May 10, 2023",Financial Consultant,"Former Employee, more than 3 years","Oakdale, MN",Pros,Lot training for sales of products,Cons,High paced atmosphere in sales,
Great Place to Start Career,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW75735760.htm,4.0,"Apr 22, 2023",Customer Relationship Advocate,"Former Employee, less than 1 year","Westlake, TX",Pros,Good Pay Remote (if looking for remote work) Paid to Study Licensing Materials,Cons,Remote Constant Metric Driven Overwatch,
Customer Service,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW75793806.htm,3.0,"Apr 24, 2023",Customer Service Representative,Current Employee,,Pros,Hood stepping stone for someone looking to get their feet wet in the finance world.,Cons,Tied to your phone all day.,
"Typical Corporate Rat Race, Culture Getting Worse, Woke Libs running most Departments",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW73750685.htm,3.0,"Feb 18, 2023",Teacher,Former Employee,,Pros,Good benefits and people in certain department,Cons,The woke commie culture has infected this once stellar company like most of the other big fortune 500 companies. You will be expected to tow the woke liberal line. Bad pay and no merit raises ever. They call it annual performance raise and it's always just a below cost of living raise.,3
Moving backwards,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71705283.htm,3.0,"Dec 7, 2022",Business Analyst,"Current Employee, more than 5 years",,Pros,"-Great for personal development and growth -Smart people, generally positive team dynamics -Mobility opportunities -Good benefits",Cons,"-So many teams working on similar digital products; the vision often doesn’t come together and the customer experience suffers. -Moving backwards in regards to associate flexibility to work from home without any real explanation why other than the classic “collaboration”. In reality, most digital teams just go to the office to sit on Zoom calls. Lack of transparency in the real reasons for return to the office which is causing general distrust -Many leaders have old school mindsets around agile delivery and ways of working. Plenty of good leaders, but just as many bad ones.",
It would have been nice to stay with Fidelity……but management……,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW72673778.htm,3.0,"Jan 16, 2023",Senior Associate,"Former Employee, more than 3 years","Westlake, TX",Pros,Friendly environment Many customer service and technology jobs available,Cons,"In the 3 departments I worked in management was good at pretending to be friendly and then using that friendship to manipulate you, or just cut off the mentorship if you went to another department.",2
sr. engineer,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76181158.htm,4.0,"May 6, 2023",Senior Software Engineer,"Current Employee, more than 10 years","Durham, NC",Pros,a good work life balance.,Cons,in place career progression is difficult.,
Review,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76341687.htm,5.0,"May 11, 2023",Investment Associate,"Former Employee, more than 1 year","Covington, KY",Pros,Work from home flexibility is nice,Cons,No cons it’s a great company,
They don't practice what they preach,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW75662073.htm,1.0,"Apr 19, 2023",Financial Associate,"Current Employee, less than 1 year","Albuquerque, NM",Pros,Great benefits remote work is great once training is complete Good hours,Cons,They say how great they are in protecting workers but really don't people are disingenuous experienced a lot of bad things such as racist remarks so casually used Everyone there is looking out for themselves and that next promotion management don't really care,4
Fantastic place to work,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70060576.htm,4.0,"Oct 12, 2022",Case Manager,Current Employee,,Pros,"Company is welcoming to folks from all walks of life and has made strides since my hire to become even more inclusive. I feel more free to disclose who I am to work than I do family sometimes. My personal management has been engaging and transparent without overstepping to the ""work is family"" mentality, and gives me support whenever and however I need it. Work and personal life separation is achievable, even while still working from home, and the company has not pushed us to return past our comfort levels, which is refreshing.",Cons,"Any major cons I have would be purely circumstantial and wouldn't be a fair representation of the company. Nit-picking, I would say that sometimes company movement and adaptability is too easy, and there is a lot of turnover in some places that can lead to confusion, but it also leads to a lot of folks, myself included, having a longer tenure with the company and finding their niche.",
Okay,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76035931.htm,4.0,"May 2, 2023",Call Center Representative,Former Employee,,Pros,It's an okay place to work.,Cons,"Some bad bosses, though some good ones too.",
"Fantastic Benefits, Culture Depends on Your Manager",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW73647053.htm,4.0,"Feb 15, 2023",Relationship Manager,"Former Employee, more than 5 years",,Pros,"Amazing benefits, great co-workers, ability to move locations. Leadership is also great",Cons,"Your experience will entirely depend on the branch manager or assistant branch manager that you work with. Pay could be higher, but it's offset with the benefits",
They put on the facade of caring,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW74015170.htm,1.0,"Feb 27, 2023",Software Engineer,"Current Employee, more than 3 years",,Pros,It's a job and it pays,Cons,"Below market pay, albeit decent benefits. The biggest problem is senior level management. They put on the facade of listening to employee input, but they completely ignore it. The work/life balance & has gone down the toilet since they implemented the mandatory dynamic work weeks, and management is so disconnected from it that they don't care. This place is a great example of why nepotism is bad; I'd rather work for a qualified CEO than someone who inherited the company from their dad.",8
Lots to learn/ lots of phone calls,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW74741059.htm,5.0,"Mar 21, 2023",High Networth Trader,"Current Employee, less than 1 year","Philadelphia, PA",Pros,"Great mobility, from HNW can jump to almost any other job on the personal investing side of fidelity",Cons,"On phones all day, 30 minute lunches unless you want to extend work time by half hr. Lots of metrics to keep track of. Time is heavily tracked",
"Great company, terrible job",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW73327794.htm,3.0,"Feb 5, 2023",Customer Relationship Advocate,Current Employee,,Pros,Great leadership Great benefits Beautiful campus,Cons,Terrible hours Below industry pay Extreme high stress because of taking calls all day Very hard to get into a different BU Hard to get off of the phones in general,3
"Good benefits, low salary",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW74438622.htm,3.0,"Mar 12, 2023",ISR 2,"Current Employee, more than 1 year","Jacksonville, FL",Pros,Health dental and 7% 401k match are great,Cons,Lowest salary per position versus industry.,
Work here you are good at politics,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW73254878.htm,2.0,"Feb 2, 2023",Software Engineer,"Former Employee, more than 5 years","Salt Lake City, UT",Pros,Good compensation/benefits Co-workers are usually cooperative,Cons,"Promotion is not by performance, rather, by politics.",
A great place to build a career,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW72285761.htm,5.0,"Jan 3, 2023",Marketing Director,"Former Employee, more than 8 years","Boston, MA",Pros,"- the company actually cares for and lives by doing right by the customer - a lot of focus on wellbeing and work/life balance - variety of roles, business units, products to keep it interesting and not stale",Cons,"- people stay decades, so you will encounter people who are completely useless and have somehow survived multiple VBOs - takes forever to get anything done - pay structure not competitive relative to tech and other sectors",2
Great Hybrid schedule,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW75814827.htm,5.0,"Apr 25, 2023",Customer Relationship Advocate,"Current Employee, less than 1 year","Westlake, TX",Pros,Work from home Licensing Learning opportunities,Cons,Heavy phones Mandatory office weeks,
What to say,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW75482197.htm,2.0,"Apr 13, 2023",Investment Solutions Representative,"Current Employee, more than 3 years",,Pros,Fidelity is a great company to work for Learn a lot,Cons,Really underpays their associates and has a cult like culture.,
What an awesome place to work,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW75190715.htm,5.0,"Apr 4, 2023",Customer Service Representative,"Current Employee, less than 1 year","Jacksonville, FL",Pros,They really care and listen to what their employees think and care about,Cons,There really are not any negatives I can think about,
No Direction,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW73420847.htm,1.0,"Feb 7, 2023",Business Analyst,Current Employee,,Pros,Some free food in the break room,Cons,"Joined company and was put on a team that did not know I was joining, they had no idea who was supposed to train me or what I was supposed to be doing. The only thing they do know is that I have to be in the office one out of for weeks, no exceptions, also the COVID distancing desks have been removed, the health insurance they provide is the bare minimum allowed by law so this makes me nervous.",5
Great company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW74721081.htm,5.0,"Mar 21, 2023",Help Desk,"Current Employee, more than 10 years","Jacksonville, FL",Pros,"Great company with great benefits, work from home flexibility, and passion for customer service",Cons,Very little presence in Midwest and Mountain West regions.,
good people,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW74101957.htm,4.0,"Mar 1, 2023",Associate,"Former Employee, more than 1 year","Salt Lake City, UT",Pros,something a person should get into if they want to learn finance and branch out,Cons,"you are expected to navigate a system that doesn't make a lot of sense, they have instilled inefficiency and it can be quite confusing knowing who and when to talk to different departments",
Blah,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW76043008.htm,3.0,"May 2, 2023",Customer Service Representative,Former Employee,"Westlake, TX",Pros,Nice building n benefits great,Cons,Trainers needs a lot of work play favorites,
Great Place to Work,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW75171953.htm,5.0,"Apr 4, 2023",High Net Worth Financial Representative,Current Employee,,Pros,"People are great, location is easy to get to, great benefits and some overtime is available.",Cons,None to really speak towards.,
